row	column	plot	rep	block	family	individual	pedigree	inferred.group	harvest.date	pre.terminal.flowering.day	terminal.flowering.day	wet.biomass	dry.biomass	dry.stripped.biomass	pred.dry.biomass	pred.dry.stripped.biomass	trunk.length	basal.stem.diameter	primary.stem.volume	powdery.mildew.71dap	powdery.mildew.86dap	powdery.mildew.92dap	powdery.mildew.mean	powdery.mildew.audpc	chl.conc.index	grean.leaf.index	leaflet.number	middle.leaflet.width	middle.leaflet.area	leaf.mass	leaf.area	leaf.length	leaf.perimeter	leaf.circularity	specific.leaf.area	petiole.mass	petiole.area	petiole.length	petiole.perimeter	pertiole.circularity	specific.petiole.area	leafing.intensity	branching.pairs	internode.length	max.canopy.diameter	max.canopy.diameter.height	kite.hyp.a	kite.hyp.b	kite.area	kite.perimeter	kite.circularity	kite.branch.angle	kite.hyp.ratio	specific.kite.area	kite.volume	dry.stripped.biomass.prop	wet.biomass.leaf.fraction	wet.biomass.stem.fraction	canopy.leaf.number	canopy.leaf.area	canopy.leaf.perimeter	canopy.leaf.density	height.6dap	height.14dap	height.21dap	height.28dap	height.35dap	height.42dap	height.49dap	height.56dap	height.63dap	height.70dap	mean.growth.rate	day.max.growth.rate	growth.rate.mumax	growth.rate.y0
11	7	197	11	1	19-1157	GVA-H-19-1157-011	Candida #1 x TJ's CBD	Cherry	2020-10-09	70	85	7.56	NA	NA	2.306415	1.331376	1	5.31	1343.473353	30	50	35	38.33333333	1067.5	63.8	0.111415968	5	1.68609	15.20529455	0.2322	39.02549	13.48505	101.56153	0.047544442	168.0684324	0.0169	0.58658	3.13863	7.19554	0.142367327	34.70887574	4.267852993	6	8.33	138	76	107.9352	101.9117	10902	419.6938	0.77777	42.61406	1.059104	4.726816293	1733418	0.577249107	4.364003252	3.195996748	5733.74677	223762.2772	0.129087316	0.002517571	41	44	52	65	82	101	126	139	159	182	2.238095238	49	0.033233897	25.52602164
12	7	198	12	1	19-1157	GVA-H-19-1157-012	Candida #1 x TJ's CBD	Cherry	2020-09-24	35	42	1.86	NA	NA	0.376166	0.391014	4	2.35	182.169177	75	55	50	60	1552.5	54.6	0.094556323	3	1.32317	10.02489601	0.0671	11.48171	11.3338	37.99554	0.099942727	171.1134128	0.007	0.26163	1.48004	4.13829	0.191979812	37.37571429	31.98857477	10	5	92	51	87.13208	65.76473	5566	305.7936	0.747991	44.38394	1.324906	14.79665892	695750	1.039471935	1.9334178	-0.0734178	5827.33234	66907.74	0.096166353	0.002778897	39	43	55	72	95	115	122	124	125	126	1.380952381	35	0.039719422	23.77734235
13	7	199	13	1	19-1157	GVA-H-19-1157-013	Candida #1 x TJ's CBD	Cherry	2020-09-24	35	42	3.44	NA	NA	0.838101	0.625243	17	3.87	556.7739417	60	75	70	68.33333333	1810	60.6	0.094942011	3	1.17992	10.07561128	0.0907	14.83514	12.7871	42.78289	0.101850057	163.5627343	0.0054	0.31399	1.69377	4.28601	0.214792603	58.1462963	12.38119746	10	5	100	75	83.60024	76.57676	6250	320.354	0.765296	40.76361	1.091718	7.457335094	887500	0.746023451	2.56632067	0.87367933	6893.528115	102266.4547	0.115229808	0.002891629	43	47	60	73	86	114	126	133	142	142	1.571428571	42	0.031323597	29.78198355
14	7	200	14	1	19-1157	GVA-H-19-1157-014	Candida #1 x TJ's CBD	Cherry	2020-10-09	70	85	5.09	NA	NA	1.584276	0.965207	4	4.94	1086.104082	25	50	30	35	1002.5	57.3	0.103477951	5	1.71217	15.05786995	0.1961	40.26893	13.14743	95.49437	0.055491239	205.3489546	0.0136	0.58153	3.30881	7.87182	0.117932004	42.75955882	4.531807182	7	7.14	122	87	96.67471	103.0049	9638	399.3591	0.759398	36.31365	0.938545	6.08353595	1561356	0.609241698	3.101040242	1.988959758	4922.014278	198204.2484	0.126943662	0.00198612	35	39	44	56	74	96	120	145	162	170	2.142857143	56	0.039162012	18.66056461
15	7	201	15	1	19-1157	GVA-H-19-1157-015	Candida #1 x TJ's CBD	Cherry	2020-10-09	70	85	6.67	NA	NA	2.046211	1.199437	2	5.34	1224.320126	10	15	25	16.66666667	407.5	64.1	0.131573243	5	1.58714	14.0763983	0.2134	38.54804	13.26565	95.42793	0.053193817	180.6374883	0.0145	0.53081	3.14005	7.27374	0.126076288	36.60758621	4.590796458	8	6.25	108	78	86.83317	93.2309	7776	360.1281	0.753446	35.3948	0.931378	3.800194604	1135296	0.586174642	3.909784861	2.760215139	5620.604499	216663.287	0.190842993	0.003443846	41	44	50	57	66	86	99	123	146	164	1.952380952	56	0.030245392	23.40589193
16	7	202	7	1	TJ's CBD	TJ's CBD 7	TJ's CBD (Stem Holdings)	West.Coast	2020-10-09	63	70	6.29	1.78	1.22	1.843098	1.143103	3	4.29	655.2727674	10	65	65	46.66666667	1277.5	44.2	0.107776184	5	1.80556	20.10025446	0.2927	46.93318	16.65956	101.73763	0.056980547	160.3456782	0.0296	1.03216	4.65884	10.66058	0.114128792	34.87027027	5.959921269	8	6.25	104	57	84.81156	74.96666	6292	319.5564	0.77429	43.91908	1.131324	3.413817388	780208	0.62020739	3.901104483	2.388895517	3905.374103	183291.6258	0.234926617	0.005000083	NA	NA	NA	NA	NA	NA	NA	114	124	136	NA	NA	NA	NA
18	7	204	2	2	20-1072	GVA-H-20-1072-002	A2R4-MC-R2-1 x TJxTJ #4	Fiber.Feral	2020-09-24	56	63	8.14	NA	NA	2.341031	1.322003	48	4.09	924.0547375	0	20	25	15	397.5	57.6	0.135617772	5	1.67372	12.16507547	0.1688	29.26361	10.85097	85.17856	0.050684735	173.3626185	0.0286	0.96565	5.6275	12.95826	0.072266368	33.76398601	8.475440912	6	8.33	168	110	126.0635	104.4031	13104	460.9331	0.775065	53.56914	1.207469	5.597533736	2673216	0.564709737	4.596737258	3.543262742	7831.771327	229185.9017	0.08573415	0.001719553	52	57	71	96	124	157	188	201	204	211	2.523809524	42	0.040377253	30.55338251
19	7	205	3	2	20-1072	GVA-H-20-1072-003	A2R4-MC-R2-1 x TJxTJ #4	Fiber.Feral	2020-09-24	56	63	6.26	NA	NA	1.791387	1.043299	8	4.18	850.8130339	0	10	15	8.333333333	212.5	55	0.130118631	7	1.40018	11.94416479	0.1726	29.57667	12.76501	99.1714	0.037790814	171.3596176	0.0141	0.4729	2.6708	6.03382	0.163227932	33.53900709	7.104505672	7	7.14	143	95	91.43987	112.6111	10296	408.1019	0.776857	39.4147	0.811997	5.747501796	1564992	0.582397327	3.645807266	2.614192734	6044.606025	178779.3177	0.11423657	0.002329601	44	47	59	75	92	115	132	143	152	186	2.253968254	70	0.033585304	28.9660468
20	7	206	4	2	20-1072	GVA-H-20-1072-004	A2R4-MC-R2-1 x TJxTJ #4	Fiber.Feral	2020-09-24	56	63	7.22	2.09	1.11	2.072056	1.185616	5	3.73	600.9941359	0	15	20	11.66666667	305	56.9	0.14599819	6	1.22725	9.503055653	0.1579	26.63703	11.58911	108.39141	0.028490885	168.6955668	0.0209	0.6676	3.88477	8.73894	0.109852179	31.94258373	12.49371765	6	8.33	151	112	92.2456	130.9551	12080	446.4015	0.761773	35.20708	0.704406	5.829958264	1993200	0.57219303	4.131233673	3.088766327	7508.651045	200008.1631	0.100345255	0.002072664	41	44	58	78	100	128	148	158	165	165	1.968253968	42	0.041112598	24.33115674
21	7	207	5	2	20-1072	GVA-H-20-1072-005	A2R4-MC-R2-1 x TJxTJ #4	Fiber.Feral	2020-09-24	56	63	5.76	NA	NA	1.645205	0.969176	24	3.93	873.3885188	10	70	75	51.66666667	1397.5	56.9	0.106967654	5	0.95238	7.203044627	0.1127	15.8008	11.32881	81.62142	0.029804418	140.202307	0.0091	0.38206	2.1321	4.8716	0.202301076	41.98461538	9.846259022	6	8.33	179	120	127.6372	131.2488	16736.5	517.772	0.784508	42.99315	0.972483	10.17289639	3531401.5	0.589091329	3.393166055	2.366833945	8599.609583	135880.7111	0.038477843	0.000960855	48	56	81	106	130	167	192	210	211	216	2.666666667	42	0.042776324	32.11954697
