row	column	plot	family	individual	pedigree	type	canopy.height.23dap	canopy.area.23dap	canopy.volume.23dap	ndvi.23dap	evi.23dap	gci.23dap	gdvi.23dap	mnli.23dap	msavi2.23dap	osavi.23dap	canopy.height.34dap	canopy.area.34dap	canopy.volume.34dap	ndvi.34dap	evi.34dap	gci.34dap	gdvi.34dap	mnli.34dap	msavi2.34dap	osavi.34dap	canopy.height.35dap	canopy.area.35dap	canopy.volume.35dap	ndvi.35dap	evi.35dap	gci.35dap	gdvi.35dap	mnli.35dap	msavi2.35dap	osavi.35dap	canopy.height.50dap	canopy.area.50dap	canopy.volume.50dap	ndvi.50dap	evi.50dap	gci.50dap	gdvi.50dap	mnli.50dap	msavi2.50dap	osavi.50dap	canopy.height.56dap	canopy.area.56dap	canopy.volume.56dap	ndvi.56dap	evi.56dap	gci.56dap	gdvi.56dap	mnli.56dap	msavi2.56dap	osavi.56dap	canopy.height.69dap	canopy.area.69dap	canopy.volume.69dap	ndvi.69dap	evi.69dap	gci.69dap	gdvi.69dap	mnli.69dap	msavi2.69dap	osavi.69dap	canopy.height.79dap	canopy.area.79dap	canopy.volume.79dap	ndvi.79dap	evi.79dap	gci.79dap	gdvi.79dap	mnli.79dap	msavi2.79dap	osavi.79dap	canopy.height.93dap	canopy.area.93dap	canopy.volume.93dap	ndvi.93dap	evi.93dap	gci.93dap	gdvi.93dap	mnli.93dap	msavi2.93dap	osavi.93dap
10	6	165	19-1177	GVA-H-19-1177-010	(Winterlake #8) x TJ's CBD	Seed	0.39	0.035175	0.006464019	0.340853649	0.053257354	0.591580978	0.134389215	-0.060704201	0.045049284	0.079654197	0.6	0.189080501	0.067716612	0.178101518	0.706713803	1.215385319	0.357044707	0.228818464	0.48437135	0.476782231	0.658	0.219893	0.088128949	0.155087793	0.249741488	2.539268945	0.539953618	0.00807438	0.212203967	0.351204058	0.462	1.0765855	0.309913315	0.053333959	0.835283422	1.822533908	0.450703035	0.323587224	0.609791157	0.582299219	0.14	0.103517501	0.007938206	0.015821033	0.368208525	6.529760517	0.755061481	0.066579528	0.333271472	0.487495804	0.968	1.293128	0.637685557	0.078419236	1.043974219	1.603143258	0.412780415	0.353878983	0.584038254	0.53700406	0.463	0.499407001	0.10830171	0.098709007	1.160579933	1.320523001	0.375676461	0.228326042	0.468416576	0.432130219	0.5819	0.485157591	0.106800429	0.09465425	2.574323621	1.388122137	0.392534631	0.194780121	0.383638937	0.333977559
11	6	166	19-1177	GVA-H-19-1177-011	(Winterlake #8) x TJ's CBD	Seed	0.436	0.0536165	0.016457439	0.364639635	0.086994182	0.860172262	0.193770405	-0.046682532	0.073536805	0.126793652	0.633	0.249558	0.108385403	0.083393116	0.781066706	1.390465505	0.401521105	0.29428918	0.543227685	0.522608446	0.702	0.312298001	0.138283325	0.051517991	0.292624661	3.120712602	0.60335066	0.022406821	0.251436121	0.40462538	0.548	1.0437415	0.342860519	0.05698775	0.974299716	1.601722972	0.421071753	0.424929768	0.672081458	0.614798634	0.24	0.239848002	0.0327887	0.015988194	0.381389165	6.429195576	0.752505391	0.07235974	0.345869647	0.497453355	0.799	0.462890501	0.207538973	0.083091223	1.197988211	1.457585151	0.385120616	0.383456213	0.597251571	0.53979554	0.865	0.574901001	0.264187214	0.088375921	1.782132013	0.968192158	0.307008156	0.217609986	0.426238674	0.37959861	0.8937	0.6624274	0.259056351	0.08006816	-20.90944619	1.213789227	0.364276072	0.152611422	0.362075484	0.318685297
12	6	167	19-1177	GVA-H-19-1177-012	(Winterlake #8) x TJ's CBD	Seed	0.496	0.065808001	0.01749527	0.368399144	0.100628012	0.928645543	0.219338606	-0.049963972	0.084929582	0.144675283	0.657	0.336246001	0.122524391	0.055859739	0.783166792	1.564384032	0.428256696	0.310500816	0.581584447	0.560606551	0.739	0.367791	0.175817658	0.028406295	0.302832152	3.107280793	0.602789647	0.02650893	0.261198836	0.41583206	0.715	0.605166	0.228359939	0.046459893	0.972579871	1.400981927	0.388968224	0.419180785	0.669607534	0.613288832	0.294	0.434245502	0.0664138	0.015854666	0.375638344	6.259521923	0.74240414	0.071136592	0.341125315	0.493942924	0.913	1.597794002	0.733711481	0.095399672	1.021996993	NA	0.433924206	0.330834949	0.601757001	0.561398755	1.284	1.501208	0.949637423	0.09876721	1.390536241	1.153789041	0.342474903	0.355157757	0.540457674	0.477821089	1.0673	1.253201424	0.722995027	0.098690368	1.659694209	2.10663681	0.477958168	0.431876883	0.56968138	0.494206216
13	6	168	19-1177	GVA-H-19-1177-013	(Winterlake #8) x TJ's CBD	Seed	NA	NA	NA	0.204303221	0.006878804	0.01920694	-0.022914212	-0.0788173	0.006427721	0.00826006	0.489	0.077260501	0.019823542	0.39593821	0.177021213	0.230193777	0.036712089	-0.101418507	0.159516662	0.145836536	0.496	0.0902305	0.026007567	0.342030023	0.13589261	1.078313201	0.276873293	-0.032687401	0.113862791	0.190594082	0.425	0.875633501	0.218850472	0.050309211	0.920582694	1.187772176	0.353424854	0.355327344	0.608253744	0.57523945	0.146	0.128941001	0.01017108	0.019917183	0.376553652	5.707524613	0.729199838	0.068881543	0.339992741	0.490988706	1.375	1.457819503	0.987313485	0.085059022	1.049134532	1.611776228	0.411121864	0.357933281	0.600949539	0.551351161	1.004	0.5242335	0.257733782	0.077369838	1.111236654	1.207724495	0.35411055	0.284951697	0.501850132	0.452674155	1.2911	0.514945306	0.283052005	0.071582584	1.941375633	1.66003707	0.438084965	0.343053182	0.509177509	0.445882953
14	6	169	19-1177	GVA-H-19-1177-014	(Winterlake #8) x TJ's CBD	Seed	0.481	0.065054001	0.016561359	0.355944189	0.1109891	1.079847793	0.258270465	-0.03832125	0.093329625	0.161351343	0.719	0.355824	0.154275554	0.056349154	0.807376275	1.451109693	0.414722055	0.324991727	0.572496761	0.542927575	0.855	0.422877	0.215214591	0.023888957	0.309258083	3.137344457	0.60655002	0.028678336	0.2665784	0.420547857	0.62	0.739091502	0.262281886	0.045348627	1.014161633	1.457114134	0.402043199	0.460968711	0.681237474	0.61488208	0.194	0.236907499	0.026575262	0.019395944	0.412400937	6.632327059	0.755714774	0.089359677	0.3787917	0.519504528	0.704	0.714062001	0.234788596	0.09957909	1.147500169	1.467894223	0.367067796	0.419506836	0.61609364	0.551816274	0.726	1.0404025	0.298154968	0.105944559	1.143810004	1.026736161	0.310462587	0.243343119	0.453513278	0.407419262	0.8073	0.85856819	0.262909079	0.105656558	16.0728648	1.377553935	0.383326193	0.271938243	0.455989755	0.400754572
15	6	170	19-1177	GVA-H-19-1177-015	(Winterlake #8) x TJ's CBD	Seed	0.478	0.0859045	0.021465983	0.342481621	0.143672954	1.400132856	0.327296435	-0.030023139	0.121199516	0.204671456	0.785	0.376366501	0.179517725	0.050188843	0.810022626	1.891272484	0.474755238	0.329556771	0.591337445	0.567515027	0.921	0.428127001	0.229157048	0.02255728	0.317293267	3.582602087	0.637859091	0.030877273	0.273602709	0.428204603	0.528	0.988118	0.184573864	0.057641146	0.930771466	1.828801734	0.447763	0.399817014	0.663708256	0.614485918	0.339	0.513294	0.088616193	0.017662648	0.381609616	6.284688029	0.74430657	0.072335023	0.346075525	0.49543055	1.518	1.3836645	1.013744374	0.096345368	1.071780935	1.780484801	0.423892256	0.325480333	0.586995621	0.546814409	0.8	0.6546195	0.188228442	0.07345438	1.148771085	1.102237655	0.335944509	0.246400722	0.484441495	0.441949639	0.8097	0.767537336	0.315978624	0.088692633	2.661350523	1.243751494	0.356986476	0.391997193	0.522430235	0.4497898
16	6	171	TJ's CBD	TJ's CBD 6	TJ's CBD (Stem Holdings)	Clone	NA	NA	NA	0.241327799	0.01190151	0.138078443	0.022668009	-0.090118984	0.010620412	0.017437599	0.531	0.075599	0.022375429	0.373615151	0.254777507	0.250981776	0.055754795	-0.080229188	0.190062262	0.18050991	0.545	0.092389501	0.032633836	0.26649703	0.15754911	1.249757111	0.346365097	-0.028499665	0.129895886	0.226113783	0.498	0.876927	0.273766634	0.064698323	0.809239966	1.446802664	0.386172977	0.300741106	0.588792168	0.569150202	0.101	0.0336925	0.001886253	0.020084151	0.360902956	5.917253473	0.735061106	0.06218967	0.325023248	0.480423213	0.584	0.278830501	0.070915928	0.098217889	0.991326428	1.542132137	0.389290726	0.270322844	0.536785464	0.511894232	0.813	0.473998501	0.182817172	0.087591636	1.18676799	0.87018411	0.285525398	0.163786461	0.400701068	0.364785596	0.6887	0.332297915	0.097887887	0.085552177	5.808959704	1.067868337	0.331971207	0.20167827	0.38953056	0.338517269
17	6	172	19-1178	GVA-H-19-1178-001	(Winterlake #10) x TJ's CBD	Seed	0.513	0.0964305	0.026802742	0.342410568	0.131209013	1.116612357	0.283932572	-0.036530197	0.110632503	0.187232518	0.753	0.342855001	0.179554244	0.053915637	0.860856296	1.36954424	0.398316513	0.355986103	0.600363583	0.563147421	0.797	0.414831001	0.214716343	0.024348499	0.312582766	2.87434106	0.584669032	0.027419209	0.268691323	0.422601465	0.514	0.727556	0.114319683	0.062046233	0.815261379	1.704999549	0.424991734	0.297340289	0.581809764	0.564233423	0.235	0.426306502	0.046044378	0.029769014	0.35086566	5.483501343	0.721581444	0.055667122	0.314174156	0.468883761	1.166	1.060195001	0.568366078	0.11748139	1.053460647	1.535408451	0.374884266	0.260444547	0.525081816	0.500925668	0.94	0.845074498	0.313429656	0.104199781	1.297408541	0.931805295	0.294419405	0.151907661	0.38715854	0.350883245	1.1149	0.792285011	0.345142857	0.085651827	11.13412741	0.872484332	0.287940869	0.139473167	0.335062839	0.289641298
18	6	173	19-1178	GVA-H-19-1178-002	(Winterlake #10) x TJ's CBD	Seed	0.505	0.0425605	0.012652779	0.342787641	0.074123861	0.753734822	0.184721238	-0.045652995	0.062273994	0.109261926	0.764	0.204648001	0.109523322	0.193042695	0.695463996	1.055418458	0.323272616	0.218702572	0.465669384	0.451962979	0.765	0.267318	0.130145333	0.116927232	0.260858844	2.58741718	0.552117526	0.009935551	0.220787193	0.363641031	0.645	1.209884501	0.487173789	0.065820375	0.985697614	1.607128169	0.412190509	0.44403256	0.669633829	0.607379183	0.245	0.304807001	0.037169588	0.019240335	0.397325968	5.513633962	0.723320907	0.077307277	0.359506935	0.502566148	0.674	0.755715001	0.299204771	0.107898095	1.17938844	1.333823697	0.35827041	0.323470652	0.55699304	0.514898671	0.533	0.6726775	0.189330179	0.093787075	1.690349627	1.073805247	0.331379624	0.195878793	0.414960691	0.370746728	0.705	1.207003485	0.458437029	0.077787275	-0.037474223	1.05156494	0.328803815	0.200006366	0.379426411	0.327819031
19	6	174	19-1178	GVA-H-19-1178-003	(Winterlake #10) x TJ's CBD	Seed	0.502	0.071373001	0.021442882	0.351980496	0.108417863	1.091847844	0.262004571	-0.037783606	0.091680211	0.158663201	0.599	0.2907805	0.116195196	0.080810663	0.805332689	1.403896185	0.403473952	0.323538522	0.56716424	0.538071042	0.598	0.384129001	0.150594981	0.049310826	0.296052351	2.948785302	0.590495924	0.020755631	0.253853471	0.406311419	0.584	1.380968502	0.50780578	0.056020612	0.92206144	NA	0.442144411	0.398955542	0.656745535	0.604469366	0.036	0.106021501	0.001891424	0.018751578	0.376506589	5.929558184	0.736796664	0.069416261	0.340551136	0.490920368	0.941	0.648555502	0.27056972	0.097895968	1.00293109	1.663774156	0.405635516	0.295612947	0.571439186	0.54005295	0.925	1.591777498	0.659659628	0.096530861	1.170241458	1.00886085	0.311406185	0.237811928	0.46746035	0.429123201	1.2791	2.199955549	1.557027597	0.09425443	8.739725767	1.06491101	0.316227075	0.285447369	0.460376811	0.402609042
20	6	175	19-1178	GVA-H-19-1178-004	(Winterlake #10) x TJ's CBD	Seed	0.598	0.077243001	0.024994308	0.353328446	0.128784345	1.130938405	0.274051663	-0.035904617	0.108431494	0.181620076	0.901	0.3924195	0.216375691	0.077548369	0.71421562	1.49797712	0.416974569	0.248037746	0.515492301	0.515593197	0.951	0.479714501	0.285178506	0.044355921	0.302082831	3.54820079	0.634120777	0.030864595	0.261962734	0.414843662	0.697	1.480142001	0.594922044	0.067283254	0.915320422	1.691401988	0.418325528	0.376886407	0.625691111	0.589544878	0.155	0.279179	0.019475439	0.027196179	0.36656223	6.009731074	0.72920699	0.06545107	0.330625004	0.47961442	0.794	0.832710502	0.262301745	0.10336727	1.064029955	1.292935566	0.35237983	0.288260925	0.542961522	0.509534088	0.431	0.943914997	0.242866886	0.093243494	1.085828926	0.945045402	0.293125174	0.166770105	0.432248804	0.415309242	1.087	0.714590729	0.303603349	0.103705022	2.772101719	1.061059856	0.307076269	0.278841378	0.462019776	0.406524057
21	6	176	19-1178	GVA-H-19-1178-005	(Winterlake #10) x TJ's CBD	Seed	0.571	0.052535501	0.018612993	0.352929173	0.112151131	1.207516203	0.284064214	-0.034786947	0.094578031	0.164049214	0.89	0.285846502	0.156410854	0.07163789	0.852744019	1.345723899	0.395041215	0.318385945	0.558695529	0.530222655	0.887	0.370731502	0.195618061	0.064715937	0.302903462	3.288582571	0.61602237	0.028651675	0.260697652	0.407919457	0.542	1.375744001	0.515802257	0.060555159	0.936111703	1.510691695	0.40233058	0.360814622	0.619373147	0.577963328	0.204	0.331873001	0.032523626	0.024790927	0.357994239	7.116759624	0.762099887	0.062983914	0.323124548	0.478446321	0.956	1.0565575	0.472353395	0.106684882	1.032666987	2.036284547	0.440175351	0.310567031	0.577842066	0.543006896	1.049	1.113420999	0.559506106	0.11309591	1.306097181	0.942236895	0.297083649	0.20006198	0.430814479	0.391557733	0.8301	1.088471038	0.431626456	0.079073994	5.864529236	1.187883159	0.355170884	0.234249494	0.431188877	0.381340998
22	6	177	19-1178	GVA-H-19-1178-006	(Winterlake #10) x TJ's CBD	Seed	0.477	0.031654	0.009052425	0.345038437	0.07839707	0.648279091	0.166569986	-0.052243854	0.066265805	0.113862859	0.699	0.271248001	0.114366625	0.087583171	0.791220067	1.065462552	0.331969423	0.282003194	0.5446574	0.529998258	0.748	0.322839	0.142380699	0.055441904	0.308909795	2.778895971	0.576599791	0.026281795	0.265535587	0.411588172	0.625	0.616159999	0.196011747	0.063048667	1.130588885	1.406531271	0.393757969	0.474785714	0.686704287	0.616145666	0.182	0.285495	0.028275067	0.018025226	0.401543598	5.895811965	0.738532151	0.080348447	0.365574274	0.508270298	1.364	1.003791001	0.627104826	0.083895521	1.15033165	1.408029832	0.38900246	0.365299581	0.585465794	0.532101133	0.928	1.4546595	0.744230766	0.09934318	1.10854394	0.892550473	0.29263096	0.103108636	0.353458868	0.323621656	0.7161	0.702140535	0.20207732	0.087141195	-0.100602324	0.778286907	0.269189771	0.008736352	0.247465812	0.218115241
23	6	178	19-1178	GVA-H-19-1178-007	(Winterlake #10) x TJ's CBD	Seed	0.51	0.0482325	0.016842086	0.33657737	0.110927629	1.307142865	0.311380236	-0.031285679	0.09282212	0.166742036	0.703	0.338622501	0.146178767	0.052451324	0.895454861	1.148428032	0.357839597	0.333623137	0.574457714	0.546620795	0.782	0.433096001	0.181727446	0.027803082	0.33658691	3.352550524	0.622902754	0.03942504	0.292006912	0.441761692	0.713	1.403052	0.602031736	0.052142094	1.09402598	1.497754865	0.406530549	0.465873534	0.681727533	0.615614503	0.334	0.433585999	0.071393099	0.023609063	0.395517775	6.485046617	0.747767954	0.078922479	0.359864751	0.505405124	1.167	0.714348002	0.381483622	0.081715355	1.183900493	1.658131507	0.424049903	0.405625527	0.616940675	0.556788208	1.024	1.041107002	0.519115054	0.113381089	1.078608649	1.405112703	0.382024302	0.244546225	0.495853481	0.459846899	0.9687	0.874589015	0.509494282	0.081011763	2.386336914	1.025779333	0.312163349	0.221866198	0.417981784	0.368869021
